location	MPA	MPA	MPA	MPA	MPA	MPA	MPA	MPA	MPA	MPA	MPA	MPA	MPA	MPA	MPA
Aidablennius_sphynx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salaria_pavo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scartella_cristata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gobius_bucchichi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gobius_niger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gobius_cobitis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gobius_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gobius_cruentatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Gobius_geniporus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Gobius_xanthocephalus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Pomatoschistus_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chromogobius_zebratus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thorogobius_ephippiatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tripterygion_delaisi	1	1	1	1	0	0	1	0	1	1	0	0	1	1	1
Tripterygion_melanurum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tripterygion_tripteronotum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tripterygion_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Belone_belone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Simphodus_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Symphodus_tinca	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
Symphodus_cinereus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Symphodus_roissali	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0
Symphodus_rostratus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Symphodus_ocellatus	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Symphodus_mediterraneus	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Symphodus_melanorcercus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coris_julis	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Thalassoma_pavo	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Labrus_merula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Labrus_viridis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xyrichtys_novacula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atherina_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bothus_podas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mullus_barbatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mullus_surmuletus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apogon_imberbis	0	1	0	0	1	1	0	1	1	1	1	1	1	1	1
Serranus_cabrilla	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
Serranus_scriba	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Serranus_atricauda	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Epinephelus_marginatus	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Epinephelus_costae	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Mycteroperca_rubra	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1
Anthias_anthias	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1
Dicentrarchus_labrax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dicentrarchus_punctatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scorpaena_porcus	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Scorpaena_maderensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scorpaena_scrofa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Syngnathus_typhle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hippocampus_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lepadogaster_lepadogaster	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apletodon_incognitus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lepadogaster_candolii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lepadogaster_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Callionymus_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Muraena_helena	1	1	1	1	0	1	0	0	1	0	0	0	1	1	1
Gymnothorax_unicolor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Conger_conger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sciaena_umbra	1	1	0	1	1	1	0	1	0	1	0	0	1	1	0
Sphyraena_viridensis	1	0	1	0	1	1	1	0	0	1	0	1	1	0	1
Trachinus_radiatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pomadasys_incisus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mola_mola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Spicara_sp	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0
Phycis_phycis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sardina_pilchardus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sardinella_aurita	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Euthynnus_alletteratus	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
Gymnammodytes_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thunnus_alalunga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
